Date,"Weight (kg)","Fat mass (kg)","Bone mass (kg)","Muscle mass (kg)","Hydration (kg)",Comments
"2023-01-10 05:37:32",54.35,,,,,
"2023-01-09 07:33:26",54.82,,,,,
"2023-01-08 12:39:33",54.53,,,,,
"2023-01-07 17:48:08",54.29,,,,,
"2023-01-06 12:56:15",54.18,,,,,
"2023-01-05 08:27:20",54.49,,,,,
"2023-01-04 07:30:04",54.82,,,,,
"2023-01-03 05:03:25",55.25,,,,,
"2023-01-02 05:40:48",55.64,,,,,
"2023-01-01 17:46:03",55.32,,,,,
"2022-12-31 17:06:24",55.21,,,,,
"2022-12-30 15:50:38",55.19,,,,,
"2022-12-29 17:35:32",55.25,,,,,
"2022-12-28 16:21:19",54.88,,,,,
"2022-12-27 14:57:39",55.11,,,,,
"2022-12-26 16:25:56",55.35,,,,,
"2022-12-25 16:25:27",54.98,,,,,
"2022-12-24 14:36:06",56.06,,,,,
"2022-12-22 15:31:22",54.94,,,,,
"2022-12-21 13:15:44",55.18,,,,,
"2022-12-20 13:39:32",55.09,,,,,
"2022-12-19 12:17:42",55.13,,,,,
"2022-12-18 09:43:24",55.26,,,,,
"2022-12-17 14:10:52",54.67,,,,,
"2022-12-16 13:17:09",54.56,,,,,
"2022-12-15 09:09:48",54.95,,,,,
"2022-12-14 11:03:53",54.88,,,,,
"2022-12-13 11:22:38",55.14,,,,,
"2022-12-12 14:53:18",55.49,,,,,
"2022-12-11 17:30:24",54.72,,,,,
"2022-12-09 09:59:16",54.43,,,,,
"2022-12-08 12:37:24",54.53,,,,,
"2022-12-06 12:24:28",55.30,,,,,
"2022-12-05 09:41:17",54.87,,,,,
"2022-12-04 15:04:04",54.96,,,,,
"2022-12-03 15:10:50",54.21,,,,,
"2022-12-02 09:47:07",54.35,,,,,
"2022-12-01 09:04:42",55.13,,,,,
"2022-11-30 13:05:12",54.76,,,,,
"2022-11-29 11:23:36",54.58,,,,,
"2022-11-27 12:09:56",54.90,,,,,
"2022-11-26 15:09:37",54.64,,,,,
"2022-11-25 13:22:38",54.32,,,,,
"2022-11-24 08:16:40",54.30,,,,,
"2022-11-23 08:07:22",54.52,,,,,
"2022-11-22 08:11:20",54.28,,,,,
"2022-11-21 09:13:21",54.50,,,,,
"2022-11-20 10:58:12",55.01,,,,,
"2022-11-20 10:57:57",55.00,,,,,
"2022-11-20 10:57:43",55.18,,,,,
"2022-11-19 17:06:36",54.68,,,,,
"2022-11-19 17:06:21",54.70,,,,,
"2022-11-19 17:06:02",56.71,,,,,
"2022-11-18 03:12:13",54.63,,,,,
"2022-11-17 11:53:27",54.33,,,,,
"2022-11-16 04:44:57",54.63,,,,,
"2022-11-15 12:34:22",54.31,,,,,
"2022-11-14 12:42:43",54.94,,,,,
"2022-11-13 15:46:46",54.45,,,,,
"2022-11-12 14:02:33",54.92,,,,,
"2022-11-11 18:30:09",54.79,,,,,
"2022-11-10 11:21:49",55.10,,,,,
"2022-11-09 11:56:09",55.14,,,,,
"2022-10-30 07:41:05",55.11,,,,,
"2022-10-29 15:28:40",54.85,,,,,
"2022-10-28 13:19:40",54.71,,,,,
"2022-10-27 11:51:59",55.20,,,,,
"2022-10-26 12:47:24",54.69,,,,,
"2022-10-25 12:33:07",54.76,,,,,
"2022-10-24 12:32:24",54.73,,,,,
"2022-10-23 13:02:03",54.90,,,,,
"2022-10-22 09:03:50",54.73,,,,,
"2022-10-20 11:59:16",54.25,,,,,
"2022-10-19 09:34:46",54.33,,,,,
"2022-10-18 11:12:07",54.27,,,,,
"2022-10-17 14:17:21",54.12,,,,,
"2022-10-16 13:50:32",54.06,,,,,
"2022-10-15 10:26:24",54.48,,,,,
"2022-10-14 13:46:47",53.74,,,,,
"2022-10-14 13:46:27",53.80,,,,,
"2022-10-13 06:30:12",54.16,,,,,
"2022-10-12 10:47:04",54.53,,,,,
"2022-10-10 13:57:57",54.03,,,,,
"2022-10-09 14:56:14",54.07,,,,,
"2022-10-08 17:06:20",53.97,,,,,
"2022-10-07 09:54:08",54.25,,,,,
"2022-10-06 11:56:06",54.16,,,,,
"2022-10-05 11:37:50",54.91,,,,,
"2022-10-05 08:51:53",54.73,,,,,
"2022-10-05 08:51:32",54.75,,,,,
"2022-10-04 12:51:33",54.50,,,,,
"2022-10-03 12:20:27",54.14,,,,,
"2022-10-03 12:20:07",54.09,,,,,
"2022-10-01 11:29:19",54.61,,,,,
"2022-09-30 13:58:13",54.53,,,,,
"2022-09-29 11:21:33",54.17,,,,,
"2022-09-28 12:01:35",53.79,,,,,
"2022-09-27 07:56:10",54.48,,,,,
"2022-09-26 12:14:51",54.42,,,,,
"2022-09-25 14:55:02",54.03,,,,,
"2022-09-24 16:12:05",53.79,,,,,
"2022-09-23 10:05:46",54.26,,,,,
"2022-09-22 09:48:31",54.17,,,,,
"2022-09-21 15:18:48",54.18,,,,,
"2022-09-20 13:58:50",54.17,,,,,
"2022-09-19 14:00:32",54.23,,,,,
"2022-09-18 14:44:29",54.26,,,,,
"2022-09-17 17:29:16",54.02,,,,,
"2022-09-16 19:35:24",53.89,,,,,
"2022-09-15 13:04:13",53.81,,,,,
"2022-09-14 11:14:09",53.71,,,,,
"2022-09-13 10:06:37",53.93,,,,,
"2022-09-12 12:18:20",53.79,,,,,
